Date,Open,High,Low,Close,Volume
2025-05-14,3.51,3.575,3.3775,3.45,150412.0
2025-05-15,3.4,3.45,3.31,3.38,141096.0
2025-05-16,3.39,3.47,3.33,3.39,340903.0
2025-05-19,3.34,3.35,3.2,3.27,254778.0
2025-05-20,3.27,3.2925,3.11,3.25,339816.0
2025-05-21,3.2,3.34,3.17,3.225,459939.0
2025-05-22,3.22,3.3276,3.15,3.21,594982.0
2025-05-23,3.15,3.2799,3.11,3.25,402920.0
2025-05-27,3.29,3.3362,3.2,3.3,395014.0
2025-05-28,3.3,3.3,3.19,3.23,355350.0
2025-05-29,3.29,3.29,3.15,3.19,244250.0
2025-05-30,3.15,3.1899,3.08,3.13,356309.0
2025-06-02,3.14,3.175,3.11,3.145,166898.0
2025-06-03,3.14,3.35,3.1248,3.28,373789.0
2025-06-04,3.27,3.44,3.22,3.39,993284.0
2025-06-05,3.4,3.4,3.29,3.33,363247.0
2025-06-06,3.35,3.46,3.31,3.36,264966.0
2025-06-09,3.33,3.34,3.23,3.25,192583.0
2025-06-10,3.24,3.2916,3.195,3.22,184910.0
2025-06-11,3.21,3.3368,3.18,3.21,220283.0
2025-06-12,3.19,3.25,3.17,3.19,145507.0
2025-06-13,3.12,3.15,2.94,2.97,479379.0
2025-06-16,2.98,3.22,2.96,3.19,131248.0
2025-06-17,3.18,3.32,3.17,3.19,191916.0
2025-06-18,3.15,3.2499,3.135,3.17,82251.0
2025-06-20,3.2,3.25,3.08,3.08,70933.0
2025-06-23,3.05,3.275,3.05,3.25,200310.0
2025-06-24,3.26,3.44,3.23,3.37,227972.0
2025-06-25,3.38,3.4,3.32,3.33,131632.0
2025-06-26,3.31,3.5,3.3,3.47,360169.0
2025-06-27,3.5,3.6,3.375,3.43,388056.0
2025-06-30,3.47,3.5186,3.34,3.36,133862.0
2025-07-01,3.34,3.45,3.26,3.45,136460.0
2025-07-02,3.44,3.48,3.4,3.44,200996.0
2025-07-03,3.45,3.55,3.4,3.54,289599.0
2025-07-07,3.52,4.11,3.51,4.1,956196.0
2025-07-08,4.12,4.3,3.93,4.22,447103.0
2025-07-09,4.23,4.55,4.15,4.52,388583.0
2025-07-10,4.5,4.6501,4.3801,4.54,362678.0
2025-07-11,4.52,4.8,4.4501,4.62,348228.0
2025-07-14,4.55,4.74,4.36,4.57,279662.0
2025-07-15,4.64,4.9999,4.6255,4.98,450746.0
2025-07-16,4.93,5.15,4.74,5.12,407847.0
2025-07-17,5.12,5.43,5.0904,5.35,563886.0
2025-07-18,5.37,5.7899,5.27,5.74,747215.0
2025-07-21,5.75,5.89,5.47,5.49,641970.0
2025-07-22,5.5,5.5,5.08,5.39,615300.0
2025-07-23,5.37,5.37,5.11,5.15,205751.0
2025-07-24,5.15,5.25,4.85,4.86,281272.0
2025-07-25,4.75,4.795,4.56,4.69,382951.0
2025-07-28,4.76,4.82,4.53,4.58,243707.0
2025-07-29,4.58,4.61,4.27,4.34,302318.0
2025-07-30,4.36,4.6,4.34,4.35,303315.0
2025-07-31,4.37,4.4721,4.26,4.35,240797.0
2025-08-01,4.24,4.26,3.7,3.75,446292.0
2025-08-04,3.8,3.99,3.795,3.96,180892.0
